0       0          0         0           0
0.0     1.5        0.5       2.0         3.0
-4.00 	0.024269   0.016128  0.036548    0.109768
-3.50 	0.039931   0.026481  0.060169    0.180844
-3.00 	0.065612   0.043366  0.098963    0.297802
-2.50 	0.107581   0.070724  0.162525    0.490023
-2.00 	0.175801   0.114588  0.266265    0.805319
-1.50 	0.285772   0.183802  0.434567    1.320880
-1.00 	0.460849   0.290501  0.705130    2.159840
-0.50 	0.734659   0.449793  1.134368    3.515199
0.00 	1.152804   0.678094  1.803085    5.682197
0.50 	1.772794   0.990209  2.820969    9.098521
1.00 	2.661683   1.396375  4.328331    14.389356
1.50 	3.891976   1.900833  6.494369    22.412444
2.00 	5.537254   2.502458  9.512668    34.298283
2.50 	7.668804   3.196599  13.595529   51.482510
3.00 	10.353715  3.976985  18.968568   75.729812
3.50 	13.654202  4.837066  25.866374   109.150502
4.00 	17.627703  5.770727  34.529354   154.211461
4.50 	22.327332  6.772574  45.201594   213.743156
5.00 	27.802446  7.837976  58.129472   290.944038
5.50 	34.099195  8.962995  73.560777   389.383271
6.00 	41.261003  10.144285 91.744165   513.002403
6.50 	49.328972  11.378986 112.928816  666.116392
7.00 	58.342217  12.664638 137.364234  853.414231
7.50 	68.338129  13.999097 165.300117  1079.959324
8.00 	79.352594  15.380486 196.986283  1351.189722
8.50 	91.420172  16.807137 232.672619  1672.918257
9.00 	104.574241 18.277560 272.609060  2051.332632
9.50 	118.847118 19.790412 317.045564  2492.995468
10.00 	134.270160 21.344471 366.232105  3004.844342
10.50 	150.873848 22.938625 420.418670  3594.191796
11.00 	168.687863 24.571846 479.855250  4268.725360
11.50 	187.741147 26.243190 544.791837  5036.507549
12.00 	208.061959 27.951777 615.478430  5905.975874
12.50 	229.677920 29.696791 692.165026  6885.942840
13.00 	252.616059 31.477465 775.101624  7985.595952
13.50 	276.902852 33.293083 864.538223  9214.497712
14.00 	302.564251 35.142971 960.724822  10582.585620
14.50 	329.625717 37.026492 1063.911422 12100.172179
15.00 	358.112248 38.943047 1174.348023 13777.944887
15.50 	388.048402 40.892064 1292.284623 15626.966247
16.00 	419.458325 42.873005 1417.971224 17658.673757
16.50 	452.365762 44.885355 1551.657824 19884.879918
17.00 	486.794087 46.928625 1693.594425 22317.772230
17.50 	522.766312 49.002348 1844.031026 24969.913193
18.00 	560.305110 51.106078 2003.217626 27854.240307
18.50 	599.432825 53.239389 2171.404227 30984.066072
19.00 	640.171486 55.401871 2348.840828 34373.077988
19.50 	682.542825 57.593132 2535.777429 38035.338556
20.00 	726.568284 59.812795 2732.464029 41985.285274
